String ID,enu,Comment
dataset-service.dataset.dod5015.label,DOD 5015 Example Data, 
notification-service.notification.dueforreview.subject,Records due for Review Notification, 
notification-service.notification.superseded.subject,Record Superseded Notification, 
notification-service.notification.rejected.subject,Record Rejected Notification, 
records-management-service.rm.service.error-add-content-container,You can only file records to a record folder., 
records-management-service.rm.service.update-disposition-action-def,You can't update the retention action definition because changes made to the retention schedule are being saved. Try again in a few minutes., 
records-management-service.rm.service.set-id,You can't change the ID of {0} because it's read-only., 
records-management-service.rm.service.path-node,We couldn't find {0}. Try refreshing your browser or contact your I.T. Dept., 
records-management-service.rm.service.invalid-rm-node,The records management node isn't valid because the aspect {0} isn't present., 
records-management-service.rm.service.no-root,We couldn't find the records management root. Try filing the record again., 
records-management-service.rm.service.dup-root,You can't create a file plan here as there's already one created in this folder hierarchy., 
records-management-service.rm.service.root-type,We can't create the file plan because type {0} isn't a sub-type of rma:filePlan. Try again using a different type., 
records-management-service.rm.service.container-parent-type,You can only create a record category at the top level of the file plan or in another record category (rma:recordCategory)., 
records-management-service.rm.service.container-type,You can only create a record category at the top level of the file plan or in another record category (rma:recordsManagementContainer or sub-type)., 
records-management-service.rm.service.container-expected,You can only find record category contents in a record category (rma:recordCategory or sub-type)., 
records-management-service.rm.service.record-folder-expected,The action can only be completed using a record folder of type rma:recordFolder., 
records-management-service.rm.service.parent-record-folder-root,You can't create a record folder here. Try creating it in a record category., 
records-management-service.rm.service.parent-record-folder-type,You can't create a record folder here. Try creating it in a record category., 
records-management-service.rm.service.record-folder-type,We can't create record folder unless you use the type rma:recordFolder or a sub-type., 
records-management-service.rm.service.not-record,The node {0} is not a record., 
records-management-service.rm.service.vital-def-missing,Vital record definition aspect is not present on node. (nodeRef={0}), 
records-management-service.rm.service.close-record-folder-not-folder,The record folder couldn't be closed because it's not defined as a record folder.(nodeRef={0}), 
records-management-service.rm.service.node-has-aspect,The record type {1} is already showing for record {0}., 
records-management-service.rm.service.final-version,Final, 
records-management-service.rm.service.final-version-description,The final archived record version, 
records-management-service.rm.service.enable-autoversion-on-record-creation,Auto Version on Record Creation, 
records-management-service.rm.service.add-children-to-closed-record-folder,You can't add new items to a closed record folder., 
records-management-service.rm.service.add-children-to-frozen-record-folder,You can't add new items to a frozen record folder., 
records-management-service.rm.service.update-record-content,You can't update a record's content property., 
records-model.rma_recordsmanagement.description,Records Management Content Model, 
records-model.rma_recordsmanagement.type.rma_rmsite.title,Records Management Site, 
records-model.rma_recordsmanagement.type.rma_rmsite.description,Specialized Site for Records Management, 
records-model.rma_recordsmanagement.type.rma_caveatConfig.title,Security Controls Configuration, 
records-model.rma_recordsmanagement.type.rma_caveatConfig.decription,Security Controls Configuration, 
records-model.rma_recordsmanagement.type.rma_emailConfig.title,Email Configuration, 
records-model.rma_recordsmanagement.type.rma_emailConfig.decription,Email Configuration, 
records-model.rma_recordsmanagement.type.rma_recordsManagementContainer.title,Records Management Container, 
records-model.rma_recordsmanagement.type.rma_recordsManagementContainer.decription,Records Management Container, 
